#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2021-12-28 00:00:00
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status time-taken
2021-12-28 00:00:00 133.242.13.171 GET / - 80 - 70.34.218.218 Opera/9.80+(Windows+NT+6.1;+U;+pl)+Presto/2.7.62+Version/11.00 200 0 0 748
2021-12-28 00:00:14 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=6742575&y=-15915783 80 - 185.191.171.45 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:00:16 133.242.13.171 GET /bunkazai/map.php X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=1067db94-c63e-4d99-8d86-7dbc6d4d5550 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 156
2021-12-28 00:00:16 133.242.13.171 GET /bunkazai/bunkazai.all.css/leaflet.css X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=fd603e40-ed46-4392-99df-0cf318c39b3f 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 31
2021-12-28 00:00:16 133.242.13.171 GET /bunkazai/bunkazai.all.css/easy_button.css X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=7dc97cbb-af01-40fa-8aac-ee63f08df3b3 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 62
2021-12-28 00:00:17 133.242.13.171 GET /bunkazai/bunkazai_json.php X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=daa61153-9760-483b-ac5a-cae155525d44 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 374
2021-12-28 00:00:20 133.242.13.171 GET /bunkazai/bunkazai.all.css/images/marker-icon.png X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=eed4c1e2-27cc-4e77-aaec-9f2cb088597b 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 31
2021-12-28 00:00:20 133.242.13.171 GET /bunkazai/bunkazai.all.css/images/marker-shadow.png X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=c15a667d-d294-4993-8fce-ffe8f4fefd09 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 109
2021-12-28 00:00:20 133.242.13.171 GET /bunkazai/9001_84.geojson X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=c8496511-4a33-435c-a1ee-8918a1f8e144 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 171
2021-12-28 00:00:20 133.242.13.171 GET /bunkazai/N03-19_28_190101_kobe1.geojson X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=5e2f78a3-b347-4c88-9cc5-4aa55aefa20b 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 78
2021-12-28 00:00:23 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=10746175&y=-18680983 80 - 185.191.171.22 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 390
2021-12-28 00:00:28 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=4142575&y=-14589783 80 - 185.191.171.26 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 390
2021-12-28 00:00:31 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=3883375&y=-8759183 80 - 185.191.171.9 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:00:48 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=7820175&y=-13148183 80 - 185.191.171.33 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
